ANIO,DELEGACIONES,SERVICIOS CULTURALES OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS DEPORTIVOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS TURISTICOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS FUNERARIOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,TALLERES DE TERAPIA OCUPACIONAL OTORGADOS A PENSIONADOS,SOCIALES COMEDORES OTORGADOS A PENSIONADOS,FOMENTO DEPORTIVO OTORGADOS A PENSIONADOS,SERVICIOS EN TURISMO OTORGADOS A PENSIONADOS,SERVICIOS CULTURALES OTORGADOS A PENSIONADOS
2018,SINALOA ,67576,15854,0,0,13449,0,1537,0,8196
2018,SONORA,104609,18956,0,19,917,0,8046,0,7707
2018,TABASCO,116693,27354,0,117,5760,0,8280,0,22470
2018,TAMAULIPAS,23349,26234,0,13,2271,0,1920,0,1250
2018,TLAXCALA,99287,25673,0,369,6276,0,3015,0,7399
2018,VERACRUZ,62324,51174,0,72,4193,0,4068,0,1130
2018,YUCATAN,93107,75352,0,92,14637,0,17458,0,13794
2018,ZACATECAS,121960,94515,0,439,11412,0,17502,0,10990
2018,DELEGACION NORTE,132860,113114,0,3649,9607,0,19438,0,10708
2018,DELEGACION SUR,66922,122890,0,9949,6854,0,11134,0,18681
2018,DELEGACION ORIENTE,38482,94959,0,33,11383,0,56269,0,19063
2018,DELEGACION PONIENTE,142850,107345,0,1863,14215,0,16656,0,30612
2018,OFICINAS CENTRALES,1878886,0,0,95,0,0,0,0,9199
2018,CONVIVE CD. MEX.,0,0,0,0,4142,54128,0,55195,0
2018,ISSSTEHUIXTLA,0,0,70174,0,0,21052,0,23287,9847
2019,AGUASCALIENTES,10402,23676,0,11,0,0,10488,0,4277
2019,BAJA CALIFORNIA. NORTE,23337,11851,0,74,0,0,663,0,3331
2019,BAJA CALIFORNIA. SUR,2923,63255,0,7,1779,0,15535,0,1620
2019,CAMPECHE,55339,40337,0,46,7785,0,4750,0,8162
2019,COAHUILA,80616,74648,0,28,40751,0,15194,0,7592
2019,COLIMA,69491,64789,0,47,10458,0,10988,0,11322
2019,CHIAPAS,68503,19130,0,50,1369,0,14329,0,16853
2019,CHIHUAHUA,68938,72141,0,188,8607,0,4903,0,7118
2019,DURANGO,100926,46468,0,73,22368,0,13140,0,7245
2019,GUANAJUATO,56113,39688,0,119,295,0,1956,0,7471
2019,GUERRERO ,41697,38767,0,77,2070,0,2975,0,66
2019,HIDALGO,130797,72759,0,98,1848,0,3244,0,8325
2019,JALISCO,86896,32765,0,226,7314,0,3081,0,6242
2019,MEXICO,205948,31890,0,2782,7155,0,4994,0,12312
2019,MICHOACAN ,159861,33884,0,3,4667,0,5093,0,4885
2019,MORELOS,79641,21918,0,72,1349,0,5676,0,4732
2019,NAYARIT,72968,55386,0,217,2491,0,3816,0,6355
2019,NUEVO LEON,98414,65121,0,1797,2517,0,4241,0,5790
2019,OAXACA,277218,34857,0,56,41550,0,5755,0,105889
2019,PUEBLA,84659,47146,0,559,6826,0,2244,0,12815
2019,QUERETARO,34865,40744,0,6,3525,0,3997,0,686
2019,QUINTANA ROO,20761,44029,0,0,18869,0,2424,0,7744
2019,SAN LUIS POTOSI,204535,88112,0,125,10735,0,11894,0,14648
2019,SINALOA ,66325,15752,0,0,5741,0,1112,0,8290
2019,SONORA,69680,16785,0,24,941,0,7849,0,3526
2019,TABASCO,92025,17653,0,94,6420,0,15938,0,12015
